,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
14,2gug6MRv4xQFYi9LA3PJCS,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",66,0.439,0.477,10,-5.638,1,0.0307,0.643,0.0,0.114,0.535,159.819
15,5byXSKd7QOHtVMOiptklBD,i swear i'll never leave again,65,0.5690000000000001,0.319,8,-12.85,1,0.0277,0.853,0.00015099999999999998,0.128,0.32,79.997
16,1QKgh2Wqbsww8KtmSBwaIf,Love Die Young,65,0.664,0.39,11,-8.802,1,0.114,0.6579999999999999,0.0,0.0933,0.21899999999999997,76.008
17,6f7BE3VcZScJx6n3wsf5Z3,I Like U,71,0.48,0.526,5,-7.099,1,0.275,0.07100000000000001,0.0,0.0879,0.374,199.662
18,22tEijyxz920RizPo8pMN2,rain drops - Full Spec Edition,25,0.516,0.917,8,-5.072,1,0.0541,0.105,0.0,0.257,0.51,130.005
19,3Jore2oSmdOgTOLTG0Bozo,JUDGEMENT-Shinpan- - Full Spec Edition,42,0.325,0.79,0,-3.616,0,0.0395,0.0113,0.0307,0.109,0.514,156.954
20,5tSE70eZAUF10eH9GBfKDl,故郷に錦を飾るべし - Full Spec Edition,26,0.588,0.792,6,-3.8539999999999996,0,0.0373,0.45899999999999996,0.0597,0.109,0.9,105.97
21,16tbhimnY12Ejeb43ZtpJx,さむらい音頭 - Full Spec Edition,31,0.594,0.9,10,-3.352,0,0.0702,0.297,0.0,0.0815,0.779,117.96700000000001
22,4xXu9UO2qdBotUOfqru2UC,Bakamitai - Taxi Driver Edition,68,0.519,0.5670000000000001,7,-7.914,1,0.025900000000000003,0.0506,0.46,0.37799999999999995,0.281,73.988
23,1IFmX1oMmlI0Mru3OjozNE,意地桜 - Full Spec Edition,31,0.528,0.84,1,-4.047,1,0.0388,0.049,0.0782,0.254,0.6910000000000001,94.072
24,7bdRmM99BqfRGNo4NwSLCE,TONIGHT-restart from this night- - Full Spec Edition,35,0.612,0.779,10,-6.097,1,0.0283,0.192,0.000891,0.226,0.504,111.01299999999999
25,4ApblBEIwIAoiQCRrkjl7O,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",40,0.379,0.959,4,-4.696000000000001,1,0.0987,8.35e-05,0.00187,0.03,0.37200000000000005,172.03400000000002
